datetime,forecast,actual,Year,Month,Day
2018-11-27 08:30:00,0.4384061703508942,7.716687352586172e-10,2018,11,27
2018-11-27 09:00:00,0.5121995967124856,6.049980960777126e-10,2018,11,27
2018-11-27 09:30:00,0.7378037692621424,4.743262051208325e-10,2018,11,27
2018-11-27 10:00:00,0.9083691170792624,3.71877789583081e-10,2018,11,27
2018-11-27 10:30:00,1.306471214135909,2.915569255603113e-10,2018,11,27
2018-11-27 11:00:00,1.149442324817321,2.2858434105459598e-10,2018,11,27
2018-11-27 11:30:00,1.1784396803569237,1.7921303249059398e-10,2018,11,27
2018-11-27 12:00:00,1.5326704503202015,1.4050529943721952e-10,2018,11,27
2018-11-27 12:30:00,1.9171265690446924,1.1015794437507287e-10,2018,11,27
2018-11-27 13:00:00,2.125296476619776,8.636523117434487e-11,2018,11,27
2018-11-27 13:30:00,2.344793228112973,6.771144077562063e-11,2018,11,27
2018-11-27 14:00:00,2.652109802320797,5.3086631659350165e-11,2018,11,27
2018-11-27 14:30:00,3.0677364488544474,4.1620595220146186e-11,2018,11,27
2018-11-27 15:00:00,3.377102480394102,3.263107665495771e-11,2018,11,27
2018-11-27 15:30:00,3.384092090304718,2.5583179589492687e-11,2018,11,27
2018-11-27 16:00:00,3.167869470501699,2.005753853632431e-11,2018,11,27
2018-11-27 16:30:00,3.339073458100437,1.572536560547919e-11,2018,11,27
2018-11-27 17:00:00,3.725685575448386,1.2328886873309098e-11,2018,11,27
2018-11-27 17:30:00,4.385637429053045,9.666004296323909e-12,2018,11,27
2018-11-27 18:00:00,4.541095631031339,7.578270445539018e-12,2018,11,27
2018-11-27 18:30:00,4.532632860894914,5.941460523361411e-12,2018,11,27
2018-11-27 19:00:00,5.082293106456022,4.6581807040011476e-12,2018,11,27
2018-11-27 19:30:00,5.659717962970757,0.0011499494885005,2018,11,27
2018-11-27 20:00:00,5.629166779299704,0.0026160055014858,2018,11,27
2018-11-27 20:30:00,5.699126386166706,0.0055711474098331,2018,11,27
2018-11-27 21:00:00,5.588163946666546,0.0092906456585229,2018,11,27
